,MLSFCDC,VIAT_NM,x,y,city,gu,dong
4136,보건시설,대우약국,127.05348992470374,37.56185741609,서울특별시,성동구,용답동
4137,숙박시설,밀모텔,127.04739948502824,37.57240329997372,서울특별시,동대문구,답십리1동
4138,보건시설,일심당약국,127.02604459838565,37.60438626387546,서울특별시,성북구,길음2동
4139,보건시설,에덴치과,127.02489479974518,37.604874711820514,서울특별시,성북구,길음2동
4140,서비스산업,우리은행(장안북지점),127.06853316484221,37.57826573443563,서울특별시,동대문구,장안2동
4141,서비스산업,"전곡시장,이태원내과의원,C&C미술학원",127.06848794613525,37.57782310501919,서울특별시,동대문구,장안2동
4142,문화/예술시설,하이문갤러리,127.00810254603508,37.601072448209486,서울특별시,성북구,정릉2동
4143,보건시설,홈펫동물병원,127.02941751095872,37.618922187781806,서울특별시,강북구,송중동
4144,숙박시설,영빈장모텔,127.02985431708653,37.618781023765415,서울특별시,강북구,송중동
4145,보건시설,서울좋은병원,127.02930193094855,37.61930081127297,서울특별시,강북구,송중동
4146,보건시설,종로약국,127.02863487912435,37.61555289684255,서울특별시,강북구,송천동
4147,숙박시설,영모텔,127.0270159558071,37.621215460154986,서울특별시,강북구,송천동
4148,서비스산업,자동차부품중앙상가,127.06065584496069,37.565657286332964,서울특별시,동대문구,답십리2동
4149,문화/예술시설,전농아트홀,127.05354084332221,37.574141739685096,서울특별시,동대문구,전농1동
4150,서비스산업,MG새마을금고용답지점,127.052659129492,37.5637698707019,서울특별시,성동구,용답동
4151,서비스산업,IBK기업은행마장동지점,127.04359612824852,37.5668567936177,서울특별시,성동구,마장동
4152,보건시설,실로암약국,127.05356517181319,37.56454768704394,서울특별시,성동구,용답동
4153,서비스산업,삼광빌딩신한은행(삼광빌딩지점),127.03319649070218,37.57116882842972,서울특별시,동대문구,용신동
4154,보건시설,호아암산부인과의원,127.03738293192521,37.5681638197261,서울특별시,성동구,마장동
4155,보건시설,새보건약국,127.03254326015868,37.56666697961251,서울특별시,성동구,왕십리도선동
4156,숙박시설,리베라모텔,127.03578432215605,37.564986532147586,서울특별시,성동구,왕십리도선동
4157,보건시설,KS빌딩대한민국요양병원,127.0725010218424,37.57829721031253,서울특별시,동대문구,장안2동
4158,보건시설,메디팜경애약국,127.07060636979453,37.57958458303223,서울특별시,동대문구,장안2동
4159,보건시설,성신빌딩아름약국,127.06952515843436,37.5722868571877,서울특별시,동대문구,장안1동
4160,보건시설,십자약국,127.02401425484126,37.60790609594567,서울특별시,성북구,길음2동
4161,보건시설,중원한의원,127.02346778271757,37.60943593357927,서울특별시,성북구,길음2동
4162,서비스산업,신세계마트,127.02345552265476,37.608643591599574,서울특별시,성북구,길음2동
4163,보건시설,가람약국,127.0235207534712,37.60894402208556,서울특별시,성북구,길음2동
4164,숙박시설,벌꿀모텔,127.02872155181704,37.61561290170877,서울특별시,강북구,송천동
4165,보건시설,새봄의원,127.02839720890572,37.62154341227556,서울특별시,강북구,송중동
4166,보건시설,햇빛여성병원부설산후조리원,127.02806414592177,37.620579749254055,서울특별시,강북구,송천동
4167,보건시설,광제약국,127.02877018899396,37.62047324904126,서울특별시,강북구,송중동
4168,보건시설,한솔치과의원,127.02821405554269,37.62190738498038,서울특별시,강북구,송중동
4169,보건시설,새서울병원쉘터,127.07198169087233,37.57322730118237,서울특별시,동대문구,장안2동
4170,서비스산업,국민은행장안동지점쉘터,127.0734979779198,37.57233247106859,서울특별시,동대문구,장안2동
4171,보건시설,민성약국,127.06051387744675,37.56723038989802,서울특별시,동대문구,답십리2동
4172,서비스산업,MG새마을금고(답십리황물로지점),127.04867816214882,37.572103336841366,서울특별시,동대문구,답십리1동
4173,보건시설,인제한의원,127.05805886112812,37.572697408689436,서울특별시,동대문구,답십리2동
4174,숙박시설,골든시티호텔,127.06100272330127,37.56233112608623,서울특별시,동대문구,장안1동
4175,보건시설,우리빌딩무학치과의원,127.03232348559872,37.56293059278493,서울특별시,성동구,왕십리2동
4176,서비스산업,MG새마을금고(무지개),127.03314518207033,37.56055768016009,서울특별시,성동구,행당1동
4177,보건시설,덕수빌딩덕수의원,127.03433871650724,37.565043836837596,서울특별시,성동구,왕십리도선동
4178,숙박시설,하얀모텔,127.06614502866266,37.56430105616685,서울특별시,동대문구,장안1동
4179,서비스산업,서흥빌딩KEB하나은행장한평지점,127.06715021324364,37.56467839621953,서울특별시,동대문구,장안1동
4180,보건시설,제승빌딩경희장안한의원,127.06644621172487,37.56371486392982,서울특별시,동대문구,장안1동
4181,보건시설,조현약국,127.06675489071434,37.56353319383165,서울특별시,동대문구,장안1동
4182,보건시설,성북참노인전문병원,127.00517634545106,37.597622534672574,서울특별시,성북구,정릉2동
4183,보건시설,성신병원기계식주차장,127.02625380329606,37.624861084228094,서울특별시,강북구,미아동
4184,서비스산업,대덕25시편의점,127.0313168167496,37.61158058979458,서울특별시,강북구,송중동
4185,서비스산업,진로마트,127.03087869142288,37.60331408117184,서울특별시,성북구,종암동
4186,보건시설,그랜드동물병원,127.05764221704513,37.57266897834112,서울특별시,동대문구,답십리2동
4187,숙박시설,리즈모텔,127.05714106846716,37.57242287377328,서울특별시,동대문구,답십리1동
4188,보건시설,시대약국,127.04473193301433,37.56755137830675,서울특별시,성동구,마장동
4189,숙박시설,JJ호텔,127.06083767955033,37.56139718238917,서울특별시,성동구,용답동
4190,서비스산업,광평빌딩수협은행(장안평지점),127.06019311238997,37.56245185962941,서울특별시,동대문구,장안1동
4191,보건시설,대웅당한약방,127.03217104986781,37.562706135947124,서울특별시,성동구,왕십리2동
4192,보건시설,수도당약국,127.03710950927787,37.567319724034974,서울특별시,성동구,마장동
4193,지방행정기관,성동구보건소별관,127.03297043280845,37.567207897438166,서울특별시,성동구,왕십리도선동
4194,보건시설,한림약국,127.06871459653105,37.56920739503816,서울특별시,동대문구,장안1동
4195,숙박시설,쉴모텔,127.06918702155596,37.567920888696605,서울특별시,동대문구,장안2동
4196,숙박시설,장안장모텔,127.06619495335917,37.56188529284627,서울특별시,동대문구,장안1동
