STDR_YM,VIAT_SE_CD,VIAT_CD,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,ADRES_CD,ADRES_NM,TELNO,X_VALUE,Y_VALUE,ADRES_SP,BLCK_CD,REGIST_DE,ERSR_DE,REGIST_DT,geometry
,070301,0600,AA0000004127,산업,서비스산업,종합상품판매업,기타종합상품판매업,,대전쌀상회,,,,206219.205872,562931.342529,,365859,,,,POINT (206219.20587158203 562931.3425292969)
,060205,0300,AA0000004128,레저/관광/예술,문화/예술시설,공연/연극장,문화예술회관,,한국SGI노원평화문화회관,,,,206747.952271,563183.725403,,273125,,,,POINT (206747.9522705078 563183.725402832)
,070301,0600,AA0000004129,산업,서비스산업,종합상품판매업,기타종합상품판매업,,대창쌀상회,,,,207495.379578,563418.876892,,366545,,,,POINT (207495.37957763672 563418.8768920898)
,030204,0000,AA0000004130,교육/보건,보건시설,한의원,,,수정한의원,,,,207166.505493,563383.77533,,366512,,,,POINT (207166.50549316406 563383.7753295898)
,030101,0100,AA0000004131,교육/보건,교육시설,유아교육기관,어린이집,,엄마무릎어린이집,,,,203523.268311,563739.067017,,364382,,,,POINT (203523.26831054688 563739.0670166016)
,030102,0200,AA0000004132,교육/보건,교육시설,초등교육기관,공립초등학교,,서울온곡초등학교,,,,205826.266113,563114.466919,,366143,,,,POINT (205826.26611328125 563114.4669189453)
,010301,0700,AA0000004133,행정,지방행정기관,지방행정집행기관,동주민센터,,"강일동복합청사강일동주민센터,강동보건분소,동대본부,강일도서관",,,,215365.478394,551739.901123,,414814,,,,POINT (215365.4783935547 551739.9011230469)
,030103,0200,AA0000004134,교육/보건,교육시설,중등교육기관,공립중학교,,용곡중학교,,,,207879.489624,551843.532715,,211487,,,,POINT (207879.48962402344 551843.5327148438)
,030102,0200,AA0000004135,교육/보건,교육시설,초등교육기관,공립초등학교,,서율용곡초등학교,,,,207815.030029,551954.870728,,211487,,,,POINT (207815.03002929688 551954.8707275391)
,070305,0101,AA0000004136,산업,서비스산업,금융/보험업,일반은행,국민은행,국민은행(사가정역지점),,,,207774.817322,553417.447693,,212945,,,,POINT (207774.81732177734 553417.4476928711)
,030204,0000,AA0000004137,교육/보건,보건시설,한의원,,,장수당한의원,,,,207887.273987,553553.893127,,213122,,,,POINT (207887.2739868164 553553.8931274414)
,070305,0119,AA0000004138,산업,서비스산업,금융/보험업,일반은행,새마을금고,MG새마을금고(사가정),,,,207846.672974,553565.410278,,215073,,,,POINT (207846.6729736328 553565.4102783203)
,030201,0000,AA0000004139,교육/보건,보건시설,병/의원,미분류,,민치과,,,,207855.306274,553478.172485,,210556,,,,POINT (207855.30627441406 553478.1724853516)
,030105,0104,AA0000004140,교육/보건,교육시설,대학교,전문대학,부속시설,서일대학흥학관,,,,208662.156311,554200.102173,,215013,,,,POINT (208662.15631103516 554200.1021728516)
,030105,0104,AA0000004141,교육/보건,교육시설,대학교,전문대학,부속시설,서일대학세종관,,,,208687.622192,554161.003113,,215013,,,,POINT (208687.6221923828 554161.003112793)
,030105,0104,AA0000004142,교육/보건,교육시설,대학교,전문대학,부속시설,서일대학배양관,,,,208583.646606,554010.843689,,215013,,,,POINT (208583.6466064453 554010.8436889648)
,030105,0104,AA0000004143,교육/보건,교육시설,대학교,전문대학,부속시설,서일대학서일관,,,,208634.599182,554074.936279,,215013,,,,POINT (208634.5991821289 554074.9362792969)
,030105,0104,AA0000004144,교육/보건,교육시설,대학교,전문대학,부속시설,서일대학지덕관,,,,208592.865295,554080.174072,,215013,,,,POINT (208592.86529541016 554080.1740722656)
,070301,0600,AA0000004145,산업,서비스산업,종합상품판매업,기타종합상품판매업,,철원상회,,,,208890.41571,554450.296814,,214655,,,,POINT (208890.41571044922 554450.2968139648)
,030101,0300,AA0000004146,교육/보건,교육시설,유아교육기관,사립유치원,,진달래빌딩진달래유치원,,,,207671.899902,555466.810913,,210502,,,,POINT (207671.89990234375 555466.8109130859)
,070301,0107,AA0000004147,숙박/음식,숙박시설,기타숙박시설,,,리바노모텔,,,,207644.750793,555073.501526,,213619,,,,POINT (207644.75079345703 555073.5015258789)
