구,동,정류장 수,면적(km2),면적당 정류장 수
관악구,청룡동,74,1.18,62.71186440677966
관악구,청림동,16,0.3,53.333333333333336
관악구,행운동,78,0.72,108.33333333333334
광진구,광장동,36,2.39,15.06276150627615
광진구,구의1동,42,0.56,74.99999999999999
광진구,구의2동,57,1.39,41.00719424460432
광진구,구의3동,28,1.02,27.45098039215686
광진구,군자동,79,0.74,106.75675675675676
광진구,능동,34,1.1,30.909090909090907
광진구,자양1동,40,0.57,70.17543859649123
광진구,자양2동,40,1.68,23.80952380952381
광진구,자양3동,45,1.2,37.5
광진구,자양4동,43,1.16,37.06896551724138
광진구,중곡1동,51,0.62,82.25806451612904
광진구,중곡2동,50,0.55,90.9090909090909
광진구,중곡3동,65,0.6,108.33333333333334
광진구,중곡4동,48,2.32,20.689655172413794
광진구,화양동,78,1.16,67.24137931034483
구로구,가리봉동,52,0.4,130.0
구로구,개봉1동,118,1.31,90.07633587786259
구로구,개봉2동,58,0.8,72.5
구로구,개봉3동,30,0.81,37.03703703703704
구로구,고척1동,80,1.16,68.96551724137932
구로구,고척2동,58,1.02,56.86274509803921
구로구,구로1동,40,1.02,39.21568627450981
구로구,구로2동,149,1.76,84.6590909090909
구로구,구로3동,82,1.02,80.3921568627451
구로구,구로4동,71,0.46,154.3478260869565
구로구,구로5동,98,1.03,95.14563106796116
구로구,수궁동,181,2.67,67.79026217228464
구로구,신도림동,111,1.47,75.51020408163265
구로구,오류1동,67,0.59,113.55932203389831
구로구,오류2동,111,3.2,34.6875
구로구,항동,15,1.4,10.714285714285715
금천구,가산동,209,2.52,82.93650793650794
금천구,독산1동,184,2.09,88.03827751196172
금천구,독산2동,67,0.6,111.66666666666667
금천구,독산3동,116,0.92,126.08695652173913
금천구,독산4동,59,0.59,100.0
금천구,시흥1동,164,1.71,95.90643274853801
금천구,시흥2동,53,1.26,42.06349206349206
금천구,시흥3동,47,1.07,43.92523364485981
금천구,시흥4동,61,0.87,70.11494252873564
금천구,시흥5동,114,1.39,82.01438848920864
노원구,공릉1동,160,1.41,113.47517730496455
노원구,공릉2동,151,6.82,22.14076246334311
노원구,상계10동,84,0.8,105.0
노원구,상계1동,60,5.62,10.676156583629894
노원구,상계2동,76,0.61,124.59016393442623
노원구,상계3.4동,34,5.05,6.732673267326733
노원구,상계5동,47,1.01,46.53465346534654
노원구,상계6.7동,102,1.11,91.89189189189189
노원구,상계8동,31,0.67,46.26865671641791
노원구,상계9동,51,0.81,62.96296296296296
노원구,월계1동,139,1.16,119.82758620689656
노원구,월계2동,86,1.94,44.329896907216494
노원구,월계3동,137,1.17,117.0940170940171
노원구,중계1동,52,0.63,82.53968253968254
노원구,중계2.3동,107,0.9,118.88888888888889
노원구,중계4동,20,1.7,11.764705882352942
노원구,중계본동,64,1.97,32.48730964467005
노원구,하계1동,103,1.55,66.45161290322581
노원구,하계2동,63,0.51,123.52941176470588
도봉구,도봉1동,108,8.72,12.38532110091743
도봉구,도봉2동,97,0.83,116.86746987951808
도봉구,방학1동,104,0.69,150.72463768115944
도봉구,방학2동,47,0.74,63.513513513513516
도봉구,방학3동,85,2.62,32.44274809160305
도봉구,쌍문1동,107,1.24,86.29032258064517
