,학교종류명,학교명,도로명주소,x,y,city,gu,dong
612,고등학교,선덕고등학교,서울특별시 도봉구 시루봉로 53,127.0298023,37.6518966,서울특별시,도봉구,쌍문4동
613,고등학교,서울외국어고등학교,서울특별시 도봉구 덕릉로66길 22,127.0279507,37.6547435,서울특별시,도봉구,쌍문4동
614,초등학교,서울삼육초등학교,서울특별시 동대문구 회기로10길 63,127.0522219,37.6445985,서울특별시,도봉구,창4동
615,중학교,휘경중학교,서울특별시 동대문구 망우로18나길 20,127.047744,37.5901601,서울특별시,동대문구,회기동
616,중학교,휘경여자중학교,서울특별시 동대문구 한천로 247,127.0621804,37.5872156,서울특별시,동대문구,휘경2동
617,중학교,청량중학교,서울특별시 동대문구 왕산로 301,127.06743681901017,37.58294965,서울특별시,동대문구,휘경2동
618,중학교,정화여자중학교,서울특별시 동대문구 홍릉로15길 50,127.05130226342024,37.587742500000004,서울특별시,동대문구,청량리동
619,중학교,전일중학교,서울특별시 동대문구 사가정로13길 67,127.0416142,37.5852717,서울특별시,동대문구,제기동
620,중학교,전동중학교,서울특별시 동대문구 장안벚꽃로 291,127.05867970803776,37.581954550000006,서울특별시,동대문구,전농2동
621,중학교,전농중학교,서울특별시 동대문구 사가정로13길 71,127.0710004,37.5854496,서울특별시,동대문구,휘경2동
622,중학교,장평중학교,서울특별시 동대문구 답십리로72길 158,127.05969288795336,37.5802633,서울특별시,동대문구,전농2동
623,중학교,숭인중학교,서울특별시 동대문구 천호대로47길 34,127.0729248,37.5688334,서울특별시,동대문구,장안1동
624,중학교,성일중학교,서울특별시 동대문구 왕산로23길 55,127.0438514,37.5744572,서울특별시,동대문구,답십리1동
625,중학교,동대문중학교,서울특별시 동대문구 사가정로 59,127.0345217,37.5806519,서울특별시,동대문구,제기동
626,중학교,동국대학교사범대학부속중학교,서울특별시 동대문구 장안벚꽃로 201,127.05218794300748,37.5744078,서울특별시,동대문구,답십리1동
