구,동,전체,국공립,국공립 어린이집 비율
동작구,대방동,11,5,45.45454545454545
동작구,신대방1동,11,4,36.36363636363637
동작구,신대방2동,13,7,53.84615384615385
동작구,흑석동,14,7,50.0
동작구,노량진1동,15,7,46.66666666666666
동작구,사당2동,16,7,43.75
관악구,보라매동,12,4,33.33333333333333
관악구,청림동,15,9,60.0
관악구,행운동,10,5,50.0
관악구,낙성대동,7,2,28.57142857142857
관악구,중앙동,2,2,100.0
관악구,인헌동,9,4,44.44444444444444
관악구,남현동,6,1,16.666666666666664
관악구,서원동,7,5,71.42857142857143
관악구,신원동,6,2,33.33333333333333
관악구,서림동,7,1,14.285714285714285
관악구,신사동,9,4,44.44444444444444
관악구,신림동,3,2,66.66666666666666
관악구,난향동,11,3,27.27272727272727
관악구,조원동,8,5,62.5
관악구,대학동,5,1,20.0
관악구,은천동,15,7,46.66666666666666
관악구,성현동,15,5,33.33333333333333
관악구,청룡동,11,6,54.54545454545454
관악구,난곡동,11,5,45.45454545454545
관악구,삼성동,5,4,80.0
관악구,미성동,11,5,45.45454545454545
서초구,서초1동,11,4,36.36363636363637
서초구,서초2동,10,5,50.0
서초구,서초3동,11,4,36.36363636363637
서초구,서초4동,10,7,70.0
서초구,잠원동,9,4,44.44444444444444
서초구,반포본동,0,0,
서초구,반포1동,9,6,66.66666666666666
서초구,반포2동,7,4,57.14285714285714
서초구,반포3동,9,5,55.55555555555556
서초구,반포4동,10,5,50.0
서초구,방배본동,5,3,60.0
서초구,방배1동,5,2,40.0
서초구,방배2동,9,5,55.55555555555556
서초구,방배3동,6,5,83.33333333333334
서초구,방배4동,9,3,33.33333333333333
서초구,양재1동,24,10,41.66666666666667
서초구,양재2동,10,6,60.0
서초구,내곡동,16,10,62.5
강남구,신사동,3,2,66.66666666666666
강남구,개포3동,8,3,37.5
강남구,논현1동,4,2,50.0
강남구,논현2동,4,1,25.0
강남구,삼성1동,7,2,28.57142857142857
강남구,삼성2동,13,4,30.76923076923077
강남구,대치1동,6,2,33.33333333333333
강남구,대치4동,8,2,25.0
강남구,역삼1동,13,1,7.6923076923076925
강남구,역삼2동,13,2,15.384615384615383
강남구,도곡1동,5,1,20.0
강남구,도곡2동,4,2,50.0
강남구,개포1동,0,0,
강남구,개포4동,12,4,33.33333333333333
강남구,일원본동,8,3,37.5
강남구,일원1동,9,2,22.22222222222222
강남구,일원2동,0,0,
강남구,수서동,7,3,42.85714285714285
강남구,세곡동,30,14,46.66666666666666
강남구,압구정동,5,3,60.0
강남구,청담동,6,3,50.0
강남구,대치2동,11,3,27.27272727272727
강남구,개포2동,7,4,57.14285714285714
송파구,풍납1동,6,2,33.33333333333333
송파구,풍납2동,18,6,33.33333333333333
송파구,거여1동,9,5,55.55555555555556
송파구,거여2동,17,8,47.05882352941176
송파구,마천1동,7,2,28.57142857142857
송파구,마천2동,11,2,18.181818181818183
송파구,방이1동,5,0,0.0
송파구,방이2동,12,3,25.0
송파구,오륜동,1,0,0.0
송파구,오금동,19,6,31.57894736842105
송파구,송파1동,12,3,25.0
송파구,송파2동,7,1,14.285714285714285
송파구,석촌동,13,4,30.76923076923077
송파구,삼전동,11,3,27.27272727272727
송파구,가락본동,14,6,42.85714285714285
송파구,가락1동,14,9,64.28571428571429
송파구,가락2동,18,2,11.11111111111111
송파구,문정1동,8,2,25.0
송파구,문정2동,12,3,25.0
송파구,잠실본동,7,2,28.57142857142857
송파구,잠실4동,17,2,11.76470588235294
송파구,잠실6동,11,1,9.090909090909092
송파구,잠실7동,0,0,
송파구,잠실2동,14,4,28.57142857142857
송파구,잠실3동,16,1,6.25
송파구,장지동,23,12,52.17391304347826
송파구,위례동,33,18,54.54545454545454
강동구,강일동,29,11,37.93103448275862
강동구,명일1동,13,4,30.76923076923077
강동구,명일2동,8,1,12.5
강동구,고덕1동,9,2,22.22222222222222
강동구,고덕2동,12,6,50.0
강동구,암사2동,14,3,21.428571428571427
강동구,암사3동,9,4,44.44444444444444
강동구,천호1동,16,6,37.5
강동구,천호3동,8,3,37.5
강동구,성내1동,13,5,38.46153846153847
강동구,성내2동,9,2,22.22222222222222
강동구,성내3동,11,4,36.36363636363637
강동구,둔촌1동,0,0,
강동구,둔촌2동,15,5,33.33333333333333
강동구,암사1동,17,4,23.52941176470588
강동구,천호2동,10,5,50.0
강동구,길동,17,6,35.294117647058826
강동구,상일1동,13,8,61.53846153846154
강동구,상일2동,15,7,46.66666666666666
