,구,동,all_chi,pub_chi,ratio_chi,all_kin,pub_kin,ratio_kin,all
360,강남구,논현1동,4,2,50.0,1,1,100.0,3
361,강남구,논현2동,4,1,25.0,2,1,50.0,2
362,강남구,삼성1동,7,2,28.57142857142857,1,0,0.0,2
363,강남구,삼성2동,13,4,30.76923076923077,0,0,0.0,4
364,강남구,대치1동,6,2,33.33333333333333,2,0,0.0,2
365,강남구,대치4동,8,2,25.0,1,1,100.0,3
366,강남구,역삼1동,13,1,7.6923076923076925,1,1,100.0,2
367,강남구,역삼2동,13,2,15.384615384615383,0,0,0.0,2
368,강남구,도곡1동,5,1,20.0,1,1,100.0,2
369,강남구,도곡2동,4,2,50.0,2,0,0.0,2
370,강남구,개포1동,0,0,0.0,0,0,0.0,0
371,강남구,개포4동,12,4,33.33333333333333,2,1,50.0,5
372,강남구,일원본동,8,3,37.5,2,0,0.0,3
373,강남구,일원1동,9,2,22.22222222222222,1,1,100.0,3
374,강남구,일원2동,0,0,0.0,0,0,0.0,0
375,강남구,수서동,7,3,42.85714285714285,4,1,25.0,4
376,강남구,세곡동,30,14,46.66666666666666,6,5,83.33333333333334,19
377,강남구,압구정동,5,3,60.0,0,0,0.0,3
378,강남구,청담동,6,3,50.0,3,1,33.33333333333333,4
379,강남구,대치2동,11,3,27.27272727272727,1,1,100.0,4
380,강남구,개포2동,7,4,57.14285714285714,2,1,50.0,5
381,송파구,풍납1동,6,2,33.33333333333333,1,0,0.0,2
382,송파구,풍납2동,18,6,33.33333333333333,3,0,0.0,6
383,송파구,거여1동,9,5,55.55555555555556,1,1,100.0,6
384,송파구,거여2동,17,8,47.05882352941176,3,1,33.33333333333333,9
385,송파구,마천1동,7,2,28.57142857142857,1,0,0.0,2
386,송파구,마천2동,11,2,18.181818181818183,1,1,100.0,3
387,송파구,방이1동,5,0,0.0,1,1,100.0,1
388,송파구,방이2동,12,3,25.0,1,0,0.0,3
389,송파구,오륜동,1,0,0.0,3,1,33.33333333333333,1
390,송파구,오금동,19,6,31.57894736842105,2,1,50.0,7
391,송파구,송파1동,12,3,25.0,1,1,100.0,4
392,송파구,송파2동,7,1,14.285714285714285,3,1,33.33333333333333,2
393,송파구,석촌동,13,4,30.76923076923077,2,0,0.0,4
394,송파구,삼전동,11,3,27.27272727272727,1,0,0.0,3
395,송파구,가락본동,14,6,42.85714285714285,1,1,100.0,7
396,송파구,가락1동,14,9,64.28571428571429,1,1,100.0,10
397,송파구,가락2동,18,2,11.11111111111111,3,0,0.0,2
398,송파구,문정1동,8,2,25.0,1,0,0.0,2
399,송파구,문정2동,12,3,25.0,0,0,0.0,3
400,송파구,잠실본동,7,2,28.57142857142857,0,0,0.0,2
401,송파구,잠실4동,17,2,11.76470588235294,1,0,0.0,2
402,송파구,잠실6동,11,1,9.090909090909092,1,0,0.0,1
